ICD.NCHS,Title,ICD10
001,"Tuberculosis","A16-A19"
003,"Human immunodeficiency virus HIV disease","B20-B24"
004,"Malignant neoplasms","C00-C97"
005,"Malignant neoplasm of stomach","C16"
006,"Malignant neoplasms of colon, rectum and anus","C18-C21"
007,"Malignant neoplasm of pancreas","C25"
008,"Malignant neoplasms of trachea, bronchus and lung","C33-C34"
009,"Malignant neoplasm of breast","C50"
010,"Malignant neoplasms of cervix uteri, corpus uteri and ovary","C53-C56"
011,"Malignant neoplasm of prostate","C61"
012,"Malignant neoplasms of urinary tract","C64-C68"
013,"Non-Hodgkin lymphoma","C82-C85"
014,"Leukemia","C91-C95"
015,"Other malignant neoplasms","C00-C15,C17,C22-C24,C26-C32,C37-C49,C51-C52,C57-C60,C62-C63,C69-C81,C88,C90,C96-C97"
016,"Diabetes mellitus","E10-E14"
017,"Alzheimer disease","G30"
018,"Major cardiovascular diseases","I00-I78"
019,"Diseases of heart","I00-I09,I11,I13,I20-I51"
020,"Hypertensive heart disease with or without renal disease","I11,I13"
021,"Ischemic heart diseases","I20-I25"
022,"Other diseases of heart","I00-I09,I26-I51"
023,"Essential hypertension and hypertensive renal disease","I10,I12,I15"
024,"Cerebrovascular diseases","I60-I69"
025,"Atherosclerosis","I70"
026,"Other diseases of circulatory system","I71-I78"
027,"Influenza and pneumonia","J09-J18"
028,"Chronic lower respiratory diseases","J40-J47"
029,"Peptic ulcer","K25-K28"
030,"Chronic liver disease and cirrhosis","K70,K73-K74"
031,"Nephritis, nephrotic syndrome, and nephrosis","N00-N07,N17-N19,N25-N27"
032,"Pregnancy, childbirth and the puerperium","O00-O99"
033,"Certain conditions originating in the perinatal period","P00-P96"
034,"Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99"
035,"Sudden infant death syndrome","R95"
036,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified excluding Sudden infant death syndrome", "R00-R94,R96-R99"
037,"All other diseases","A00-A09,A20-A49,A54-B19,B25-B99,D00-E07,E15-G25,G31-H93,I80-J06,J20-J39,J60-K22,K29-K66,K71-K72,K75-M99,N10-N15,N20-N23,N28-N98,U04,U07.0,U07.1"
038,"Motor vehicle accidents","V02-V04,V09.0,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2"
039,"All other and unspecified accidents and adverse effects","V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9,V90-X59,Y40-Y86,Y88"
040,"Intentional self-harm suicide","*U03,X60-X84,Y87.0"
041,"Assault homicide","*U01-*U02,X85-Y09,Y87.1"
042,"All other external causes","Y10-Y36,Y87.2,Y89"
